Accession,A_1,A_2,A_3,B_1,B_2,B_3
UN068160,146.4,121.9,93,84.7,144.3,34.9
UN068214,146.6,163.7,221.8,136.9,184,152.1
UN064896,146.6,120.3,427,131.2,92.7,276.1
UN074127,146.8,338.8,114,109,212,87.3
UN088681,146.8,84.2,116.2,116.5,98.6,208.9
UN080182,147.3,111.6,112.8,132.9,143.5,97.6
UN110761,147.3,121.9,158.4,159.5,101.1,244.7
UN037522,147.9,211,93.2,157,174.3,186.2
UN072058,147.9,509,133.3,40.5,69.8,32.6
UN067967,148.1,97.6,64.7,210.5,252.7,220.7
UN099256,148.3,156.5,130.4,111,84.3,127.4
UN064322,148.8,312.3,161.2,131.8,225.3,108.4
UN060891,149.2,120.6,216.5,151.6,55.3,129.7
UN053530,149.4,114.4,189.6,175.4,92.3,187.7
UN107526,149.4,144.3,138.8,115.2,155.5,145.1
UN083782,149.4,109.4,147.1,75.2,125.9,157.9
UN077517,149.6,227.9,146.2,170.9,391.5,281.8
UN057736,149.7,136.8,154.7,167,151,151
UN048826,150.1,291.1,67,169.2,232.5,111.4
UN072336,150.3,119.4,190.4,136.6,121.3,104.4
UN092350,150.5,117.8,108.4,152.4,132.6,196.3
UN071054,150.5,227.6,169.2,129.6,311.3,185.2
UN093512,150.8,159.6,189.6,158.4,138.1,189.4
UN083183,151,107.2,94.7,115.1,125.2,138
UN051778,151,154,67.6,200.2,87.8,105.5
UN062888,151.2,421.8,238.3,136.1,207.3,283.3
UN083843,151.2,137.5,120.6,131.6,155.9,116
UN070549,151.6,125,198,163.3,138.5,151.9
UN097800,151.8,219.5,213.4,117.7,246.2,233.2
UN070381,151.9,187.3,208.5,183.4,271.3,221.2
UN076246,152.3,476,1936.2,197.1,481.5,1375.7
UN076743,152.3,102.6,119.5,102.3,83.5,166.3
UN091388,152.7,173,179.5,179.2,205,173.4
UN085186,153.1,109.4,132.7,153.8,102.3,166.3
UN083393,153.6,205.7,181.8,152.7,177,171.1
UN053965,153.6,166.5,235,114.3,114.2,238.2
UN079071,154,128.7,120.6,374.4,432.4,507.6
UN069783,154,114.1,194.5,91.4,79.2,215.2
UN063166,154.5,74.2,141.9,112.4,99.2,120.1
UN077065,154.9,135.6,275,195.1,100.5,238.9
UN082029,155.6,38.7,49.7,124.3,26.6,54.7
UN084284,155.8,76.7,129.6,163.1,76.5,176
UN101468,155.8,186.1,266.2,144.1,178.2,199.7
UN105660,155.8,161.2,162.9,134.7,152.5,174.9
UN078254,156,114.7,214.2,168.7,72.6,288
UN096219,156.2,161.8,135.4,139.1,120.9,67.9
UN072744,156.7,97.6,208.7,84.7,55.2,98.1
UN093077,156.7,123.8,129.8,89.7,107.2,118.5
UN074767,157.1,314.8,142.1,267.6,214.1,101.2
UN078027,157.1,165.5,123,181.1,184.8,140.8
UN080525,158.4,143.7,158.4,132.1,175.8,160.4
UN064652,158.6,120,130,112.3,135.5,110.7
UN099242,158.8,145.6,141.1,196.7,115,154.5
UN081555,159.3,119.7,252.4,162.8,108.5,432.5
UN036413,159.3,464.2,86.9,32.6,48.3,22.6
UN052695,160.8,171.4,267.6,163.7,187.5,196
UN068535,161.1,76.1,241.1,165.3,409.3,554
UN086008,161.1,121.3,157.1,116.5,114.4,210.7
UN077217,161.5,143.4,147.3,184.3,215.5,232.4
UN093080,161.5,130.6,106.2,130.7,104,135.9
UN105426,161.7,105.1,138.8,99,107,114.4
UN073060,162.1,515.3,250,118.5,185.6,58.8
UN047651,162.1,404.9,109.9,55.8,99.2,35.8
UN087390,163.2,161.5,181.8,120.7,148.6,120.2
UN081803,163.4,214.5,150.1,129.4,126.1,72.2
UN044893,163.7,193,222.2,248.1,295.9,146.2
UN090432,163.7,135,187.1,148.9,126.7,253.1
UN080660,163.7,164.3,179.3,111,174.6,104.2
UN084355,163.9,166.5,117.7,115.2,198.7,153.5
UN030325,163.9,223.8,235,194.9,248.8,194.8
UN110686,164.3,159.3,214.4,151.6,146.5,293.1
UN061737,164.5,143.1,190.8,244.8,151.8,229.9
UN076843,165,290.2,217.7,130.5,365.3,321.3
UN044078,165.9,457.9,1398.3,322.8,591.8,1606.2
UN072171,166.3,231.6,135.1,145.2,253.3,133.1
UN083608,166.5,110.7,161.8,119,64.1,82.9
UN110377,166.8,202,222.6,269.3,409.1,284.4
UN088740,167.2,111.3,155.5,135.5,132,130.9
UN086368,167.6,230.4,200.9,161.6,291.8,246.5
UN066191,168,158.4,122.8,199,276.7,210.2
UN096918,168,255.3,349,174,234.7,435
UN063085,168.1,211.7,182.6,192.1,211.6,117.7
UN093849,168.1,116.9,185.5,165.3,105.8,248.8
UN081829,168.3,141.8,160.8,134.7,141.4,142.5
UN093267,168.5,198.6,132.5,165.3,245.4,179.4
UN086505,168.9,248.4,166,227.4,252.3,168.3
UN077227,169.2,223.2,169.4,169.4,296.5,200.5
UN093543,169.8,132.8,191.8,136,98.2,183.8
UN023912,170.2,128.7,90.2,165.6,196.2,87.1
UN060304,170.2,149,151,185.3,187.4,139
UN070699,170.3,111.6,209.5,141.4,101.5,146.6
UN091912,171.1,160.5,194.1,223.6,83.3,159.1
UN076468,171.1,107.9,267.4,120.4,98.2,208.1
UN073197,172,177.7,111.5,182.6,212.4,102.2
UN101945,172.2,372.8,542.2,294.1,607.6,110.5
UN096471,172.4,132.8,169,173.6,115.8,181.2
UN078843,172.7,250.9,206.8,169,314.7,191.3
UN090609,173.5,183,246.5,242.3,157.8,273.8
UN099360,174.2,169.3,157.5,132.1,189.7,153.8
UN091422,174.4,103.5,107.2,241.3,166,363.5
UN077396,174.6,327.9,192.2,345.4,223.5,260
UN079411,174.8,255,147.1,192.8,402.7,185.7
UN097259,174.9,116.6,156.1,163.3,99.5,192.6
UN078706,175.1,200.4,537.7,163.3,317.2,412
UN075819,175.1,154.6,179.7,209.9,202.2,221.1
UN070645,175.3,484.1,213.4,112.6,157,38.6
UN061694,175.7,144.6,108.7,403.4,340.5,445.7
UN062103,175.7,172.1,92.2,78.4,228.6,97.3
UN027792,175.9,223.2,261,171.2,401.1,277.1
UN081428,176,177.1,182.8,181.8,215.1,161.4
UN105029,176.2,158,225.7,255,165.8,442.5
UN065410,176.2,131.5,145.4,152.5,86.4,150.1
UN085568,176.8,146.2,169,142.5,158.4,205.6
UN070256,177,160.8,156.3,188.4,230.2,182.8
UN063476,177.3,181.1,201.5,196.7,158,153.5
UN067586,177.5,111.6,134.9,160.6,192.6,314.3
UN053557,177.5,377.5,358.8,131,161.1,94.6
UN071381,177.7,101.3,135.6,163.9,86.4,192.4
UN070816,177.7,135,314.7,173.9,76.9,285.1
UN080257,178.1,175.8,191.8,163.9,231,158.7
UN101141,178.4,211.7,111.5,244.1,228.2,106.6
UN089735,178.4,147.4,103.7,184.6,158.2,161
UN090248,179.4,251.9,155.7,331.5,572.2,268
UN094559,179.4,107.9,388.8,117.7,112.8,387.1
UN089931,180.1,157.7,169.2,158.6,182.1,136.7
UN093937,180.5,171.4,145.2,241.9,203.4,241.2
UN105838,180.5,360.4,236.8,194.2,257.6,99.9
UN089875,181.4,176.7,175.8,168.6,170.3,187
UN109847,181.4,152.4,304,148.8,83.5,286.8
UN075484,181.7,158,163.9,146.1,209.1,161.1
UN075908,181.9,236.9,210.9,141.6,136.3,118.1
UN085044,182.1,164.6,152.4,139.4,248.2,197.1
UN067651,182.9,196.4,192.7,174.2,133.2,151.8
UN093245,182.9,259,315.1,198.5,147.8,215.6
UN055516,183,202.3,195.5,317.5,205.3,347.3
UN079329,183.2,161.5,204.8,199.9,198.3,201.3
UN091885,183.6,220.4,293.3,241.4,160.8,296.7
UN075168,184.1,164.9,167.8,260.7,191.9,262.9
UN068565,184.3,505.3,148.1,62.4,72.9,25.5
UN110036,184.9,194.8,156.1,140.8,164.1,150.1
UN096226,185.1,141.8,190.6,152.2,100.7,220.9
UN079421,185.4,183.9,148.7,136.1,178.6,159.2
UN099303,185.6,92,146.9,132.6,144.1,137.6
UN058623,186,142.5,710.8,224.9,84.9,409.1
UN076282,186,231.9,201.9,185.1,229.6,137.4
UN060868,186.2,125.6,198,180.6,189.5,167.1
UN062115,186.3,221.6,394.6,120.2,168.4,268.3
UN093536,186.5,190.5,179.1,140.8,138.9,224.5
UN068010,186.7,169,94.3,250.6,280.1,222
UN052113,186.7,212.3,280.8,231.9,301.8,220.4
UN110523,186.7,157.7,293.9,157,132,162.9
UN072526,186.9,168,199.4,150.5,233.5,240.8
UN058661,186.9,106.6,139.7,122.4,117.9,169.1
UN026469,187.1,387.2,212.4,222.1,283.2,177.9
UN060782,187.6,127.5,118.5,134.3,212.8,118.4
UN079173,187.6,233.2,224.3,239.2,183.6,205
UN076688,187.6,132.5,559.9,110.9,88.4,285.2
UN098089,187.8,251.2,160.2,234.9,209.6,138.2
UN085150,187.8,212,254.5,156.1,156.8,237.7
UN078112,188.2,169.9,184.4,153.6,268.1,212.7
UN067034,188.2,173.9,340.1,137.9,92.5,160.8
UN084902,188.4,692,93.7,171.9,165.6,88.2
UN114178,188.6,190.8,214.8,260.9,187,521.3
UN070432,189.3,296.4,306.2,236.3,243.1,310.8
UN090185,189.8,215.4,184.2,178.6,292.4,214.1
UN052542,190.6,599.8,131,50.4,52,30.4
UN087570,190.8,324.8,152.8,289.3,338.7,161.2
UN071819,190.8,154,108.9,204.8,122.8,91.8
UN084232,190.8,457.9,179.5,21.2,48.1,14.9
UN079390,190.9,193,169.2,420,542.9,230.3
UN069749,190.9,249.1,271.9,183.7,248,112.6
UN055113,191.1,266.5,230.7,238,333.6,175.1
UN107911,191.1,324.5,461.3,307.8,255.8,492.5
UN109658,191.5,166.5,188.5,184.5,260.3,163.4
UN097578,191.5,141.2,158.6,124.9,129.7,140.6
UN084145,191.7,993.1,479.6,927.4,699.5,236.3
UN064152,191.7,155.9,305.6,132.7,145.7,187.9
UN096899,192.6,218.2,176,209.3,248.4,204.5
UN063464,192.6,218.2,176,209.3,248.4,204.5
UN114993,192.6,153.1,168.6,259.8,200.1,404
UN080842,192.6,242.8,240.5,216.3,286.7,236.5
UN073033,192.6,87.3,281.8,94.3,75.5,330.6
UN095256,192.8,224.4,173.6,322.5,247.4,283.8
UN067101,192.8,154.9,31.6,57.4,29.9,15.1
UN066153,193,205.4,238.3,305.7,227.2,212
UN091017,193.3,82.3,286.1,162.7,59.3,335.5
UN082073,193.7,194.8,199.4,181.2,231.6,187.1
UN077452,194.4,148.1,158.1,194.5,214,338.7
UN101101,194.4,155.9,352.2,132.6,146.9,199.6
UN051804,194.8,301.1,316.3,228.5,278.9,155.5
UN072951,194.8,554.9,152.2,98.9,133.4,46.3
UN055322,195.2,274.3,289,150.8,177,128.7
UN092399,195.4,580.4,164.5,169,214,68.5
UN102737,195.5,224.8,227,183.7,237.6,192.5
UN088590,195.7,237.2,137.4,178.3,271.8,198.2
UN112271,196.6,132.8,202.1,245.5,127.5,353
UN089934,197.4,178.9,193.3,187,209.3,160.6
UN093276,197.4,183,180.3,159.5,169,179
UN070900,197.4,176.1,307.5,175,165.1,271.3
UN071013,197.4,82,1314.3,75,45.8,641.6
UN077374,198.7,175.5,262.5,238.3,165.1,235.6
UN050592,198.9,177.4,171.1,276.3,257.2,139.1
UN093259,198.9,196.4,209.9,179.5,197.9,233.2
UN088148,199,168,343.6,182.5,119.1,319.9
UN087871,199.2,205.4,192.2,259.3,388,407.1
UN053210,199.4,189.2,250.4,172.2,219,240.9
UN104965,199.4,106.9,190.4,115.2,115.8,206.5
UN099342,200,158.4,133.9,204,211,207.6
UN068308,200.1,256.5,155.9,225.8,229.2,234.8
UN059749,200.1,197.9,189.4,210.2,236.4,206.1
UN076526,200.3,397.4,267.2,210.2,224.5,139.5
UN086081,200.7,164.3,342.6,180.7,120.7,306.8
UN059807,201.1,102.6,82.6,316.1,373.3,360.8
UN101074,201.2,193.6,244.8,190.1,167,210.1
UN105149,201.6,160.8,151.8,267.6,263.6,177
UN078720,202,261.5,157.7,247.5,254.4,231.3
UN090890,202.7,268.1,237,175.4,329.9,210.6
UN104318,202.7,185.8,171.1,153.1,133,207.1
UN086942,203.3,167.1,149.7,194.8,192,198.1
UN086067,203.8,217,264.5,273.1,242.5,373
UN106610,203.8,295.5,329.9,201.6,223.5,311.7
UN053573,204.2,111.3,228.6,87.5,67.1,136.6
UN093258,204.4,199.2,206,201,176.4,210.4
UN080539,204.6,172.4,286.3,257.5,246.6,234
UN084348,204.7,163,420.6,128.5,107.2,390.4
UN086179,204.9,150.6,289.4,173.7,120.9,328.2
UN078860,205.5,173.9,190,198.5,140.6,230.3
UN057569,206.2,183,117.5,172.9,196.9,127.7
UN103435,206.4,140.9,222.4,185,151.8,230.6
UN080450,206.6,294.3,325.7,228.2,234.1,306.7
UN078378,206.8,404,212.6,160,199.5,79
UN078524,206.9,284,274.8,198.8,199.9,206
UN106557,208.1,236,324.1,194.9,201.2,258.1
UN077249,208.2,167.1,157.5,232.7,238.4,192.2
UN076543,208.4,197.9,376.1,242.3,163.7,343.5
UN104257,208.4,118.8,141.5,138.8,108.5,121.2
UN106366,209.5,310.8,345.5,255.4,283,265.9
UN077992,209.9,210.4,211.3,255.4,245.6,162.6
UN054800,210.4,645,116,58.2,55.2,22
UN023584,211.5,403.1,382.8,232.4,412.6,144.4
UN079782,211.7,210.1,173.3,200.9,262.1,138.8
UN096815,212.1,171.8,155.1,229.6,382.7,725.5
UN084331,212.1,136.8,179.5,150.2,101.5,173.7
UN059337,212.8,188.3,305.4,265,108.7,365.5
UN079931,213.2,257.2,301.7,212.2,321.7,236.9
UN103743,213.4,200.4,150.8,220,151.2,173.2
UN111811,213.9,241,211.8,183.9,279.1,313.5
UN087446,214.9,181.1,90.2,144.4,235.3,165.5
UN114122,215,234.4,228.6,244.8,178,210.5
UN098961,215.2,233.5,177.5,160.2,124.4,136.8
UN070103,215.4,171.8,241.5,240.6,186.8,135
UN068096,216.3,170.8,157.9,226.1,168.2,156.2
UN071625,216.3,154.9,163.7,233,197.7,169
UN083213,217.1,254.7,257.8,195.9,205.2,238.2
UN054836,217.6,282.4,234.1,183.7,211.8,166.4
UN066497,217.6,202.3,178.1,134.4,196.9,157
UN037439,218,252.2,216.9,166.7,273.6,187
UN072800,218.4,259.4,271.7,210.7,235.9,231.6
UN087925,218.9,198.9,236.8,252.6,170.3,239.9
UN077598,218.9,304.6,168.8,180.3,200.7,123.7
UN078557,220,377.5,338.9,168.9,309.2,198.2
UN079763,220.6,282.4,300.3,322.7,179.9,293.4
UN085430,220.7,256.9,298.2,185.6,223.3,159.8
UN094116,221.5,351.3,319.8,228,271.6,216.8
UN056784,222.8,212.3,320.2,198.8,240.2,170.6
UN102683,223.1,215.1,257.8,199.6,145.3,267.6
UN067581,223.3,98.8,323.1,165.9,86,908.1
UN074079,223.9,278.1,205.8,196,312.7,223.2
UN111539,224.1,317.6,492.1,276.7,268.7,458.5
UN095142,224.2,245.3,323.7,236.7,295.9,295.1
UN072269,224.4,319.5,339.5,244.7,320.9,173.5
UN085700,225,115.6,303.4,191.2,93.9,380.6
UN052342,225.2,274.6,332.9,259.5,258,178.8
UN041703,225.3,235,240.1,265.6,293.4,233.4
UN073848,225.3,347.9,256.9,154.2,181.9,139.6
UN079325,225.5,214.2,171.1,231.7,266.2,108.7
UN110324,225.9,234.4,325.1,261.5,238,361.1
UN069720,226.3,196.7,211.5,186.8,214.3,157.9
UN068567,226.8,240.6,159.6,205.9,361.4,248.4
UN096865,227,271.5,277.9,315.6,371.6,239.1
UN048412,227,508.7,308.1,231,369.4,218.6
UN080868,227.2,142.1,140.7,227.5,430.6,278.7
UN060924,227.4,420.5,419.4,104,196.4,72.6
UN022482,227.9,251.6,208.9,200.4,332.7,239.6
UN062680,228.7,292.7,254.5,178.1,276.7,125.1
UN062052,228.8,221.3,218.7,274.2,249.2,224.5
UN088823,229,195.1,179.7,257,197.7,233.4
UN069125,229.2,254.4,200.9,270.1,277.7,212.9
UN070377,229.4,673.3,695.4,284.5,487.2,307.9
UN051678,229.4,437,237.6,199.9,172.9,161.6
UN074639,230.3,197.6,200.3,237.5,249.7,196.7
UN053632,230.7,26.2,216.7,234.9,21.5,236.7
UN064450,230.7,177.7,215.2,229.1,192.6,197.5
UN107902,230.9,224.1,189,251.5,302.7,223.6
UN085351,231,194.2,186.3,248.1,221.4,372.6
UN079091,231,293.3,200.9,181.4,254,106.2
UN088052,231.2,133.4,126.9,259,218.1,295.2
UN080914,231.4,166.5,178.5,241.3,161.5,276.7
UN065178,231.4,209.5,161.6,236.6,172.7,123.6
UN095252,232,186.7,169.2,154.5,235.1,139.2
UN105965,232.3,203.2,322.7,221.1,158.8,359.1
UN063129,232.7,255,288,203.2,227.1,177.3
UN059430,233.3,201.4,374.4,209.8,101.3,462.5
UN067682,233.6,274.6,316.5,295.1,336.6,237.3
UN053909,233.8,286.2,336.2,221.1,187,207.7
UN042630,234,82.9,97.8,455.4,239.4,207.8
UN102047,234.2,166.1,252.8,228,158.8,337.4
UN064052,234.2,255.6,280.8,216.8,153.9,179.5
UN066307,234.7,279.6,291.9,232.2,275.6,208.6
UN083973,234.7,109.7,254.9,129.6,106.8,266.5
UN082360,235.5,163.3,188.1,226.3,148.2,212.5
UN089764,235.8,253.1,187.9,265,258,261
UN039021,236,228.8,273,131.2,238,155.5
UN087895,236.4,271.8,117.3,347.1,322.7,202.2
UN086273,236.4,238.8,277.5,271.5,252.3,246
UN082451,236.4,480.1,374.8,280.7,403.7,123
UN071880,236.6,259.7,256.5,241.9,303.5,259.7
UN069560,237.1,163.7,290.2,250.5,144.1,249.1
UN064986,238,180.8,400.9,215.1,130.2,373.5
UN057533,238.6,185.2,498.7,200.7,113.4,387
UN056043,238.8,196.1,283,305.5,196,328
UN076404,238.8,237.8,111.9,288.2,186.2,103.1
UN023871,239,668.3,411.2,422.6,504.6,278.3
UN091860,239.3,187.7,164.1,403.6,375.5,188.8
UN054345,240.2,328.2,291.2,233.9,440.8,212.1
UN066663,240.8,283.4,205.4,185,247,208.4
UN068644,240.8,140,387.8,135.4,75.1,293.4
UN062891,241,262.8,220.6,193.7,295.9,170.3
UN091145,241.5,270.3,256.9,228.3,291,262.1
UN082856,241.7,325.4,230.9,292.4,295.5,267.3
UN064687,241.9,313.9,228.4,232.7,342,181.5
UN092403,242.1,178,242.8,222.5,223.5,294.2
UN113632,242.5,287.4,252.2,237.2,303.7,304.9
UN074050,242.8,252.2,261,325.5,339.3,316.5
UN096418,243,247.5,266,275.3,221.2,342
UN054893,244.1,251.9,301.3,314.9,294.3,228.4
UN093399,244.1,191.7,286.7,205.5,230.6,453.6
UN077152,244.1,487.8,282.4,278.2,141,94.4
UN030993,244.5,199.8,241.9,277.1,261.3,404.1
UN110333,244.5,169,163.1,189.3,229.8,166.1
UN075846,244.7,154.6,166,208,217.5,259
UN077685,245,316.7,333.6,268.2,311.7,202.1
UN104100,245.4,209.2,252,275.7,182.3,347.3
UN065755,245.8,211.7,187.9,276.3,311.5,256.7
UN073802,245.8,168.3,238,156,194,291.4
UN049966,246.1,213.8,286.5,179.3,240.4,192.4
UN080638,246.5,273.4,255.5,262.9,302.2,253.4
UN077084,246.5,137.5,261,217.6,86,218.7
UN069453,246.9,298.9,391.3,222.1,312.9,211.8
UN070569,247.1,253.1,347.9,310,310.6,286.8
UN097397,247.1,372.2,285.3,286.6,318.8,242.5
UN097417,247.2,329.2,378.5,279.8,275.8,267
UN074160,247.2,367.2,297.4,170.1,194.2,168.7
UN067320,247.4,230.7,223.1,226.6,268.5,220.9
UN065690,247.8,888.7,298.6,75,163.3,46.3
UN085038,248.2,291.8,323.9,275.6,249.2,197.5
UN110559,248.2,273.7,312.4,231,224.7,188.6
UN062810,248.3,453.9,346.3,346.8,492.8,219.3
UN075227,248.9,353.2,194.3,301,357.5,177.6
UN093204,248.9,247.8,147.5,163,167.4,183
UN107061,249.6,189.8,184,150.6,149.2,204.1
UN108519,249.6,185.5,187.3,150.5,150,192.5
UN092296,249.8,242.5,298.4,289.4,177.8,399.5
UN054752,250.2,432.4,310.3,338.3,446.1,250.9
UN081630,250.2,273.7,254.9,272.6,266.4,270
UN078119,250.4,217.3,166.2,193.2,240.2,173.3
UN049774,250.7,152.1,743.7,272.9,150.2,448.1
UN008720,250.9,165.5,193.5,267.9,221,251.9
UN093810,250.9,236.9,194.3,276.8,268.5,265.4
UN088310,250.9,385,266,282.1,535.9,422.1
UN097443,251.5,157.7,203.7,254.5,219.6,331.2
UN072919,251.5,104.1,111.5,105.9,86.4,188
UN071656,252,170.5,354.9,239.9,127.3,250
UN086960,252.6,258.1,282.6,270.3,244.7,252.2
UN065711,252.8,198.6,275.8,220.2,152.7,380.4
UN077794,252.9,260.3,395,223,215.1,305
UN070953,253.1,223.8,236.6,409.2,266.6,260.3
UN081957,253.1,447.9,130.8,252.6,434.9,105.8
UN084576,254.2,242.8,322.7,279.3,252.3,286.7
UN065482,256.1,164.6,252.6,362,270.9,365.3
UN065183,256.4,353.2,895.3,161.3,162.1,93.8
UN075661,256.6,280.6,320.6,242.8,250.9,235.3
UN100952,257,208.9,245.2,231.7,196.7,281.6
UN109946,257.4,183,228.4,204.6,138.7,262.7
UN060312,258.3,526.8,485.5,95.9,61.4,51.4
UN051703,258.6,194.5,223.3,249.5,246.6,381.3
UN073185,258.8,256.9,411.8,94.2,186.2,34.8
UN088724,259,294.3,270.7,293,250.1,251.3
UN090984,259.7,231.9,231.3,280.9,327,344
UN072478,259.7,370.6,227.8,250.9,491.7,262.6
UN093406,259.7,377.8,155.7,216.9,307.2,108.2
UN079868,260.3,268.1,189.8,250.9,1105.9,202.2
UN086016,260.8,284.6,315.3,267.6,284.2,216.9
UN050343,261,260.6,367.2,301.5,355.9,255.8
UN092670,261,241.6,289,270.7,191.7,242.4
UN083616,261.4,182.4,240.3,187.6,121.4,194
UN093179,261.8,149.6,260,189.9,125.6,166.6
UN063295,262,269,215.7,285.5,308,283.2
UN091478,262.1,222.6,233.3,180.6,244.1,229.9
UN096836,262.3,253.4,320.6,263.1,288.5,377
UN109437,262.9,392.5,426.4,258.4,357.1,501.7
UN063184,263.2,313.9,237.2,189.5,272.4,225.3
UN057574,263.4,343.8,1147.5,310.2,349.5,518.7
UN099104,263.6,90.1,459,103.9,80.4,593.1
UN071166,264,538.7,237.8,72.7,148.6,22.9
UN051172,264.3,256.2,415.9,216.8,141.4,291.1
UN090206,265.1,325.1,550.6,291.5,281.8,565.7
UN092768,265.4,159,223.3,215.8,224.7,217.3
UN044403,266,289.3,276.2,274,369.2,218.5
UN075410,266.4,273.7,329.4,292.7,428.9,245.8
UN079298,266.6,211,202.7,196.3,250.3,186.9
UN112287,266.9,235,189.4,255.4,249.3,246.1
UN109424,267.8,275.9,298.2,298.3,181.9,488.5
UN065970,268,156.8,259.2,124.1,107.8,218.8
UN107694,268.2,399.6,269.7,269.8,350.1,200.2
UN100598,268.4,219.8,235.6,285.9,205.7,278.6
UN087620,268.9,156.5,193.9,228.3,200.1,178.6
UN091038,269.3,329.5,296.8,205.2,251.9,192.4
UN078776,269.5,273.1,246.9,266.4,241.9,206.2
UN102678,270.2,572.9,432.3,191.8,344.4,219.2
UN069918,270.4,228.2,192.9,257.8,304.7,228.9
UN103127,270.6,230.1,334.8,233.1,207.5,293.1
UN084912,270.6,310.2,275.6,214.6,298.6,196.8
UN072413,270.6,357.5,292.7,257.9,214.3,143.3
UN060976,271,281.8,429.7,262.9,153.5,349.2
UN073879,271.1,567.6,285.1,273.5,514.5,274
UN114996,271.3,263.1,217.3,271,248.8,229.9
UN084527,271.3,517.8,422.7,263.1,242.9,335.8
UN073144,272.1,212.3,407.5,234.1,136.1,352.9
UN092612,272.3,311.1,282.4,233,324.8,315.3
UN093596,272.3,337,319.2,281.2,359.1,261
UN072494,272.3,493.1,301.7,191.8,205.7,145
UN103630,273.2,239.4,259.2,313.9,368.3,310.7
UN056065,274.3,285.2,322.3,285.9,299.8,280.3
UN080342,274.3,294,277.9,168.3,155.3,107.7
UN113285,275.7,241.6,259,383.8,285.9,318.2
UN109396,276.3,255.9,346.3,272.4,194.4,312.1
UN069114,276.5,221.9,377.9,279,154.3,272.6
UN029157,276.9,277.4,472.2,439.9,486.2,419.8
UN093206,276.9,194.2,347.9,270.9,157.8,285.3
UN053627,277,166.8,162.1,168.1,154.1,177.4
UN082642,277.2,370.6,426.6,250.1,280.8,496.9
UN083067,277.8,544,258.4,268.4,619.6,166.5
UN086413,277.8,180.8,160.6,275.3,108.9,270.2
UN100494,278.5,231,289,225.5,236.8,282.9
UN073052,278.7,637.8,267,376.9,492.4,268
UN048138,278.7,163.7,189.6,259.3,165.5,193.7
UN101379,278.7,160.5,328.6,166.7,161.3,520.1
UN097147,279.2,507.5,482.7,249.2,294.1,488.8
UN085480,280.2,229.4,270.9,175.6,273,250.8
UN107723,280.3,264.7,589.1,197.3,268.9,564.4
UN092234,280.7,257.8,181.6,188.2,244.1,248.3
UN063761,280.7,231.6,227,179,169.6,185.3
UN079953,280.9,266.5,276.2,363.5,363.2,257.6
UN069272,281.6,241.9,231.1,303.3,183.2,176
UN062047,282.4,201.1,45.2,241.7,340.3,86.4
UN065033,282.4,299.6,277.5,263.6,261.5,319
UN066513,282.7,535.2,283.4,374.6,378.4,435
UN102682,282.9,332.3,366.4,303,235.5,336.4
UN112236,284,286.5,423.5,278.2,278.5,517.6
UN070876,284,380,391.7,203,200.3,89.7
UN079288,284.4,296.8,285.7,261.1,295.5,282.7
UN101076,284.6,340.4,262.3,326.1,387,317.5
UN053774,284.8,590.4,435.8,166.7,249.3,122.6
UN046837,284.9,285.5,633.8,443.5,435.3,764.5
UN095538,285.1,325.1,424.9,313.1,295.1,361.7
UN082066,286,530.9,444.5,286,189.3,351
UN110368,286.6,336.3,298.4,338.3,391.1,297.6
UN094751,286.6,244.1,282,251.7,195.6,354.8
UN079134,287.7,281.8,347.5,224.7,214.7,225.6
UN075032,288.8,362.2,301.1,254.4,196.4,259.2
UN087915,289,151.8,144.8,404.7,156.3,334.8
UN063576,289.4,278.7,170.5,274.5,167.8,168.1
UN080286,289.7,250.3,312.2,347.9,157.2,597.2
UN076563,289.7,326.7,300.3,316.1,315.6,207.6
UN061912,290.3,314.5,1210.6,216.6,205.7,876
UN078515,290.6,197,293.9,306.3,230.6,423.5
UN069071,290.6,195.8,186.5,195.1,159.2,194.3
UN076729,290.8,264.7,257.8,241.4,280.4,254.6
UN068225,291.4,370.3,387.4,372.6,404,357.7
UN086610,292.3,181.7,192.9,268.7,163.1,289.4
UN094995,292.7,268.4,399.7,283.2,400.5,403
UN110803,293.2,749.1,244.8,293,544.1,91.1
UN066060,293.8,156.5,346.3,208.3,178,291.5
UN049456,293.8,1218.5,76.4,89.5,80.2,29
UN043638,294.7,314.2,400.5,332.6,396.8,262.6
UN083286,294.7,339.5,265,273.2,305.9,272.7
UN086201,294.7,208.9,280.4,275.7,146.5,300.3
UN097644,296,230.7,212.4,298,121.8,143.1
UN113984,296.2,237.2,279.1,246.9,208.5,268.4
UN083327,296.7,332,349.6,266.7,226.5,426.2
UN098593,296.9,217.3,201.3,367.3,204.4,238.7
UN063217,296.9,212,323.5,239.9,169.8,190.5
UN091689,297.5,284,257.6,255.4,248.8,150.8
UN072541,297.6,194.8,229.6,316,250.3,243.5
UN059033,298,199.8,595,242.2,125.6,202.3
UN089522,298.4,207.3,393.7,200.9,177.8,465.5
UN072030,299.3,160.8,198.2,328.9,238.2,206.9
UN048208,299.5,240,302.1,261.1,275.4,417.9
UN065705,299.7,322.3,423.5,313.3,375.3,327.6
UN092435,300,204.2,194.3,360.6,293.2,356.3
UN075455,300,119.7,479.4,129,61.6,200.2
UN066417,300.2,269.3,324.3,367.4,371,276.4
UN094219,300.2,308.6,365.8,269.2,228.4,378.9
