Accession,A_1,A_2,A_3,B_1,B_2,B_3
UN074174,282.7,194.2,1354.5,204.3,306.8,181.1
UN059857,283.3,156,,205.8,321,245.7
UN071512,283.8,404.6,494.7,273.1,273.3,291.4
UN049264,284.3,74.3,740.3,189.3,399.5,272.6
UN040405,284.3,468.5,139.4,218.6,113.9,342.3
UN103742,284.5,252.9,259,515.1,300.8,653.1
UN063867,285.2,510.9,348.6,378.3,250.8,387.7
UN067452,285.7,65.1,2825.3,134.9,123.5,185.4
UN088340,286.1,2046.1,195.9,1021.2,415.2,990.4
UN092161,286.3,216,249,289.7,366,333.6
UN091873,286.8,174.4,116.2,187,238.8,222.2
UN072367,286.8,478.8,275.6,222.1,220,260.6
UN081428,287,96.2,823.3,108.5,112.5,121.4
UN052542,288.2,388.4,242.4,129,119.9,124.4
UN070440,288.7,137.5,136.1,361.8,354.1,353.7
UN101246,289.3,219.7,683.9,163.3,310,192.7
UN066699,290.5,752.2,146.1,637.5,519,700.9
UN112244,291,804.1,1035.8,570.7,359.1,753.3
UN076205,291.2,556.6,288.8,694.8,386.2,718.2
UN098025,291.2,325.5,434.9,443.8,524,382.2
UN085306,291.4,223.4,209.2,263.1,508.9,301.5
UN076526,291.4,269.1,428.3,461.4,318.3,415.1
UN107403,291.7,232.6,132.8,325.2,451,282.8
UN109632,291.7,557.7,116.2,287.4,282,321.4
UN082802,292.4,324.5,1776.2,275,399.5,281.1
UN070549,292.6,216.5,657.3,219.8,314.1,262.9
UN102855,292.8,235.7,212.5,308.1,217.2,235.6
UN062153,292.8,349.8,189.2,546.7,131.3,321.2
UN085395,293.3,246.7,,255.2,360.5,210.4
UN074814,294.4,597.4,166,443.2,365.1,360.2
UN114876,294.7,231.8,3499.2,169.4,189.7,310.6
UN096899,294.9,275.6,278.9,220.6,574.1,238.4
UN080165,295.1,52.1,939.5,63,52.8,52.6
UN059337,295.6,1322.3,428.3,1995.4,1063.2,1193.7
UN062740,296,748.9,498,2317.3,875.3,2296.8
UN073034,296.3,142.1,205.8,396.3,391.3,244.9
UN080860,296.7,336.9,434.9,510.5,285.2,463.4
UN065471,296.7,143.1,192.6,239.3,281.5,232.4
UN092716,297.2,617.3,478.1,426.7,271.9,431.9
UN056591,297.7,99.5,909.7,163.8,238.4,180
UN073997,298.6,314,245.7,186.3,227.3,178.7
UN106719,299.3,716.8,189.2,408.5,333.9,322.9
UN111811,300.2,137.2,1314.7,417.2,454.7,398.5
UN059999,300.7,230.4,351.9,234.9,284.3,218.1
UN070312,302.7,327.7,405,430.4,386.7,509.3
UN087658,302.7,328.3,149.4,338.8,324.7,336.9
UN061897,304.4,159.9,335.3,153.5,241.1,139.9
UN078144,305.1,1188,315.4,514.3,309.5,583.3
UN065701,305.5,21.9,185.9,132.2,221.8,154.3
UN069137,306.2,540.4,252.3,290.7,310.5,178.7
UN093399,309.4,712.3,235.7,347.8,290.2,374
UN085224,309.4,293.6,102.9,83.7,69.8,80.6
UN082068,310.8,705.6,278.9,1035,456,801.8
UN049531,311.3,992.8,122.8,771.3,384.9,521.8
UN061064,311.7,1568.5,1769.5,129.7,2198,939.5
UN054119,312,168.1,235.7,238.8,327.4,333.7
UN059287,312.4,114.9,139.4,105.4,166.7,99.8
UN091708,312.9,235.3,136.1,188.9,194.7,221.3
UN061120,313.8,327.1,245.7,203.7,466.6,277
UN071356,314.3,281.2,46.5,755.6,434,543.8
UN055574,314.8,362.1,743.7,247,540.1,318.4
UN095937,314.8,215,1557.1,211.7,374.3,197.7
UN086273,315.4,305.1,288.8,287.4,439,324.8
UN095215,317.1,1249.7,388.4,566.8,429.4,702.2
UN054978,317.5,242.7,199.2,390.7,671,452.8
UN066822,318,238.4,534.5,546.3,799.1,405.2
UN060901,318.7,263.8,142.8,431.7,257.2,346.6
UN075467,318.7,329.6,53.1,232.8,152.9,292.5
UN110523,318.9,348.8,806.7,558.4,957.1,653.5
UN107234,319.6,358.1,282.2,1083.8,244.3,744
UN082048,320.5,581.7,,390.3,229.6,317.5
UN084324,321.4,702.2,156,827.2,2325.7,439.9
UN091138,321.4,188.5,142.8,134.1,235.1,188.4
UN091818,325.1,1000.3,391.8,1077.5,1775.9,1291.9
UN052695,325.1,239.1,468.1,174.8,231.5,273.1
UN093136,327.2,840.6,557.8,1381,1364.9,1537.4
UN067034,327.7,192.1,179.3,121.7,102.4,123.5
UN098470,327.9,417.9,434.9,1462.1,695.3,1288.7
UN084011,329.1,180.8,89.6,122.1,317.8,157.6
UN110652,329.5,275.1,318.7,1057.8,388.1,851.1
UN085905,329.5,151.6,112.9,165,319.6,326.1
UN111883,330,258.9,806.7,272.3,274.6,302.8
UN068858,330.5,344.2,1845.9,312.2,533.2,256.7
UN063107,330.9,161.2,335.3,276.7,636.5,353.7
UN075410,331.1,202.9,355.2,180.7,378,265.3
UN114993,331.8,201.1,2227.7,402.2,372,360.2
UN046606,331.8,336.9,119.5,229.2,212.6,203.7
UN097348,333.5,500,255.6,175.3,208.5,260.4
UN103567,334.1,201.8,1175.3,262.9,326.5,232.6
UN102622,334.6,345.8,1162,233.6,345.8,252
UN083577,337.4,447.1,129.5,196.4,83.6,217.9
UN080982,337.6,220.8,425,199.1,332.5,297
UN079955,337.6,284.1,358.6,242.4,343.5,205.4
UN083431,337.6,472.5,338.6,296.6,508.9,313.8
UN071507,339.2,38.1,126.2,77.4,284.3,105
UN079013,340.2,348.9,192.6,509.9,269.1,219.6
UN092345,340.8,1880.2,152.7,425,275.1,484.5
UN056437,341.3,334.3,152.7,743.7,667.3,867.5
UN092729,341.3,525.7,112.9,280,388.1,300.5
UN053957,342.5,156.2,192.6,407,464.3,316.8
UN081560,343.6,676.8,252.3,1080.8,971.3,918.6
UN092186,344.5,368.9,438.2,582.3,451,701.6
UN100494,344.8,257.4,355.2,223.2,339.4,264.5
UN088150,345.9,1454.8,511.3,601.7,458.8,679.8
UN060761,346.4,317.3,547.8,461.6,462.5,311.4
UN048040,346.4,440.5,205.8,330.9,161.7,394.9
UN096753,347.5,255.2,268.9,197.6,312.8,229.1
UN067463,347.8,436.8,408.4,441.5,847.8,800.1
UN045312,347.8,542.6,205.8,1070.2,627.3,882.4
UN088698,347.8,165.6,2257.6,197.2,99.7,263.6
UN054893,348.2,191.5,441.6,554,263.6,506.5
UN100343,348.5,154.1,259,1448.1,193.3,1034.2
UN061088,349.2,275.7,395.1,431.7,429.9,343.3
UN068182,349.2,1351,205.8,738.5,519.4,783.1
UN079625,349.2,78.2,4624.7,302.8,373.4,337.5
UN077885,349.6,236.8,481.4,284.2,324.7,336.4
UN092875,350.5,513.9,119.5,805.6,596.6,904.6
UN083616,350.5,478.1,438.2,981.3,931.8,487.8
UN078283,350.8,379.6,438.2,482.9,490.5,422.4
UN101076,351.9,237.9,176,195.8,309.1,295.3
UN066307,352.9,191.2,199.2,222.9,463.8,408
UN079964,352.9,423.1,1381.1,676.8,708.6,1137
UN081637,354.9,278.3,365.2,416.6,425.7,564.3
UN083901,355.2,901.4,205.8,647.5,394,796.2
UN069272,355.4,587.1,172.6,1254.6,764.2,887.2
UN006640,356.5,249.4,405,431.9,594.7,287.5
UN082551,357.5,306.6,93,228.8,282.4,220.9
UN085451,359.3,768.9,368.5,186.8,171.3,249.4
UN075895,359.8,518.8,222.4,1078.1,542.8,1346.7
UN060004,359.8,185.7,617.5,138.2,237.9,152.8
UN080842,362.3,262.6,647.4,190.3,387.1,236.7
UN077116,364.6,210.3,252.3,519.5,409.7,415.8
UN089934,364.6,213.5,83,220.4,297.1,246.2
UN072179,365.6,449.2,159.4,736,947,645.3
UN094024,365.8,491.9,96.3,180.3,57.9,247
UN092404,366.2,173,259,171.3,243.4,239.9
UN073443,366.7,179.5,690.5,241.4,521.3,323.9
UN095505,366.7,195.8,275.6,139.9,127.2,153
UN060782,367.6,270.7,159.4,429.4,287,382.1
UN087114,368.3,562.8,235.7,658.6,521.7,780.5
UN069791,368.6,216.9,338.6,523.7,383,481.7
UN072564,368.6,357.5,162.7,364.3,517.6,391.2
UN092532,369,436.2,1892.4,531.4,455.6,570.7
UN053557,369.7,140.8,342,276.5,187.8,161.2
UN104063,374.3,681.2,272.2,771.9,1059,599.6
UN072409,376.2,344.2,2071.6,351.8,685.7,574.6
UN112806,376.6,260.4,119.5,523.9,415.6,534.7
UN083511,376.9,228.1,106.2,511.6,603.5,435.4
UN083390,377.6,351.1,355.2,473.7,361,655.7
UN073642,380.1,643.5,49.8,418.5,387.6,472.7
UN089217,380.6,155.1,302.1,209.1,237.9,243.5
UN101737,380.6,504.5,531.2,330,448.7,439.5
UN101973,380.8,174.3,136.1,438.6,655.8,658.2
UN067818,381,577.4,996,305.8,391.7,372.4
UN105103,382.4,302.5,1633.4,322.9,363.3,313
UN087901,382.4,514.4,813.4,347.4,280.1,360.6
UN094353,382.6,967,471.4,1209.1,1378.7,1238
UN075829,383.6,402.5,86.3,641.4,1020.9,735.6
UN077337,383.8,270.3,1105.5,224.4,320.1,319
UN083286,385,956.5,335.3,358.9,287,333.9
UN113876,385,422.8,262.3,249.5,344.4,225.7
UN112701,385.6,384.5,199.2,513.2,303.6,409.5
UN080391,385.6,571.2,401.7,407.6,304.9,315.1
UN076586,385.9,657.7,421.6,254.1,256.3,349.8
UN106277,387,383.8,215.8,480.8,1618.9,874.2
UN081842,387.3,302.1,229.1,437.1,462.5,340.1
UN061245,387.3,1614.2,498,1324.1,804.6,1399.7
UN068369,387.7,895.5,425,962.5,1809,805.3
UN107096,389.1,184.9,484.7,626.8,302.2,819.7
UN069816,389.3,258.8,295.5,186.1,189.2,246.4
UN095467,391.9,606.8,527.9,347.8,372.9,300.9
UN092612,393,421,398.4,358.9,424.3,515.6
UN092754,393,270.9,1952.1,215.2,287,242
UN067335,393.3,366.6,385.1,400.1,595.2,450.3
UN076870,393.3,1120.9,617.5,116.9,77.6,118.1
UN075515,393.5,205.5,185.9,231.1,278.3,228
UN088088,394,1392.6,338.6,527.9,327.9,666
UN072166,398.1,662,139.4,258.1,242,250.9
UN067218,398.1,2492,232.4,910.8,468.9,828.1
UN094236,398.3,148.3,136.1,515.3,260.4,810
UN092399,398.3,389,697.2,1161.4,716.4,1036.5
UN093752,398.8,35.3,650.7,28.4,173.6,64.4
UN098045,399.5,231.8,252.3,266.2,268.7,282.8
UN059763,400,2542.1,385.1,439,348.1,419.4
UN091376,400.2,687.7,342,719,470.7,785.9
UN077374,400.4,212.5,806.7,1033,1126.5,787.8
UN106062,400.9,276.2,481.4,253.3,315,262.3
UN081832,401.1,529,292.2,266.7,287.5,275.5
UN083011,401.1,1254,574.4,499.2,292.5,562.5
UN110788,401.8,608.1,438.2,524.3,355.5,605.5
UN090807,402.3,346.8,388.4,296.1,249.8,276.1
UN092636,402.7,352.5,169.3,445.1,484.5,1579.7
UN085921,403.7,52.3,929.6,396.7,106.1,302
UN059937,404.1,290.3,371.8,1290,2198,1261.1
UN070623,404.1,224.3,378.5,129.5,130.4,136.7
UN080008,405.5,862.1,152.7,837.6,447.8,602.6
UN066235,406,339.9,421.6,288.4,357.8,337.5
UN101574,406.7,434.9,1344.6,616.8,486.8,626.3
UN025763,407.6,155.2,83,931.7,1213.3,631.7
UN110455,407.8,508,172.6,493.2,444.6,587.3
UN070699,409.4,388.4,418.3,957.5,676.9,883.5
UN098187,410.8,214.7,255.6,155,171.3,156.9
UN072574,414.3,256.7,126.2,525.4,498.7,525.3
UN104388,414.3,355.6,1434.2,325.8,707.2,525.3
UN102340,416.1,270.4,292.2,270.8,456,322.5
UN093946,416.8,563.5,637.4,744.8,469.4,1193.9
UN101554,417.1,583.3,1603.5,437.3,603,421.2
UN063435,417.5,246.3,770.2,784.5,2619.6,846.8
UN071278,418,763.6,265.6,494.8,599.8,480.9
UN056230,420.1,593.8,919.6,348.4,344,234.3
UN089957,420.3,471.7,478.1,496.9,311.4,514.7
UN070662,422.6,202.1,670.6,674.7,1073.7,345.7
UN068620,422.6,397.1,169.3,266,253,371.4
UN093924,423.3,272.1,378.5,317.5,415.2,285.8
UN088310,423.5,428.8,345.3,401.3,449.1,296.4
UN096792,424,227.9,597.6,210.6,248.5,253.7
UN075644,424.4,207.2,205.8,220.2,249.8,232.1
UN043777,425.4,220.5,205.8,354.7,291.6,205
UN072163,426.1,774,99.6,666.7,613.1,602.6
UN091232,426.5,253.9,169.3,327.7,210.8,368.3
UN081807,427.9,311.3,597.6,296.1,490.9,294
UN058289,428.1,565.1,109.6,829.5,292.1,654.4
UN090418,428.8,1165.2,431.6,1324.3,562.1,534.7
UN063811,429.3,1750,421.6,599.4,453.3,598.1
UN070766,429.5,293.1,351.9,282.1,492.8,280.6
UN108062,431.8,428.5,2905,424.8,473.9,547.3
UN049779,432.1,820.6,245.7,783.2,217.2,649.4
UN114539,432.3,644.1,259,508.2,419.3,836.7
UN028048,432.5,708.7,172.6,278.4,235.6,220.7
UN086764,434.1,382.6,268.9,383.4,525.8,340.3
UN104318,434.1,458.6,1304.7,442.5,391.7,427.8
UN083357,435.1,489.6,312.1,186.6,128.6,186.9
UN075240,435.8,198.9,660.7,1522.1,259,1260.3
UN080136,436,464,345.3,453.4,391.3,643.4
UN086736,436.2,923.2,176,700.8,522.2,575
UN078950,436.7,709.6,883.1,999.3,495.5,938.2
UN104944,437.6,234.3,262.3,588.7,390.4,529.8
UN068494,437.6,2225,1072.3,2418.5,1140.3,1417.2
UN088761,438.1,329.7,431.6,229.8,303.1,156.9
UN052778,438.3,45.3,242.4,383.1,573.6,214
UN066587,439.9,289,292.2,468.3,372.9,478.1
UN106430,439.9,532.9,102.9,228,246.2,447.5
UN064538,440.1,1159,504.6,659.8,409.2,682.2
UN081838,441.3,574.8,863.2,4599,652.1,3778.1
UN087503,442.2,327.8,152.7,305.1,459.3,345.5
UN019922,442.5,1561.6,348.6,636.6,327.4,717.9
UN065132,443.4,150.1,89.6,757.7,712.3,548.7
UN112239,443.8,199.2,142.8,382.7,457.9,382.8
UN074380,444.8,3771.9,547.8,851.6,3391.1,653.9
UN050016,448.7,797.3,192.6,1564,936.4,1723.6
UN071756,448.9,365.1,242.4,241.4,335.3,254.8
UN089119,449.1,353.8,209.2,337.1,386.2,368.8
UN112353,449.8,304.7,504.6,186.6,238.4,173.3
UN096520,451.5,465.3,239,439.8,393.1,446.8
UN071882,451.7,420.8,122.8,563.8,420.7,548.1
UN070433,451.9,440.2,189.2,330.2,386.2,292.5
UN065148,452.6,1231,385.1,489.8,325.2,504.6
UN080528,453.3,544.3,275.6,1548.1,1272.1,1069.9
UN089984,453.5,922.5,508,234.4,462,294.9
UN057098,454.2,326.3,2118.1,158.9,173.6,215.7
UN093221,455.2,73.8,7051.6,152.3,415.6,216
UN064654,456.5,237.6,136.1,469.3,519.9,88.1
UN067456,456.8,227.4,182.6,207.5,295.3,162.5
UN080951,457.2,448.6,866.5,458.6,904.7,492.5
UN101899,457.9,340.7,1245,379.2,603,484.5
UN064869,458.6,1038.3,853.2,938.8,496,1060.7
UN077606,458.8,648.1,212.5,620.7,541.9,540.6
UN066060,458.8,192.8,1228.4,278,332,447.7
UN067508,459.3,376.9,245.7,681.2,616.8,627
UN078345,462.1,461.5,600.9,347.8,398.2,486.7
UN103883,462.8,1817.2,564.4,1427,622.7,2232.8
UN083006,462.8,799.4,361.9,660.9,605.8,642.5
UN054632,463,190.6,205.8,934.2,1175.2,1122.3
UN070569,463.7,340.9,202.5,457.6,626.9,513.4
UN086466,466.7,621.7,405,1194.8,1208.3,787.8
UN059548,467.2,202.6,474.8,259.5,312.8,272.7
UN070349,468.1,247.5,156,279,411.5,244.4
UN109344,469,252.7,577.7,288,424.3,265.3
UN091500,469.9,659.8,172.6,1344.6,2280.2,1710.1
UN056094,470.6,267.6,106.2,615.5,921.7,558.9
UN063104,470.9,256.8,109.6,429.2,757.3,351.7
UN114141,472.7,391.3,833.3,438.8,452.4,592.7
UN082300,473.4,1869,335.3,1133.1,450.5,990
UN086303,475,269,408.4,193.5,317.8,191
UN090890,477.1,404.4,723.7,264.1,377,297.2
UN091572,478.2,303.2,537.8,495.7,771.1,594.4
UN098577,478.7,156,182.6,1126.6,611.7,1113.7
UN073052,479.2,668.6,132.8,388.4,398.6,285.6
UN086183,479.9,250.7,1045.8,318.1,615.4,497.5
UN114659,480.6,201.7,763.6,148.7,293.5,315.6
UN066872,481.2,513.6,700.5,1324.7,689.3,1513.1
UN077425,481.2,412.7,8409.4,411,535,737.6
UN083136,481.7,178.2,471.4,435.4,650.8,496.6
UN062888,482.2,429.8,172.6,957.2,3861.4,1084.6
UN111503,482.2,461.3,670.6,446.3,458.8,481.3
UN089673,482.2,799.9,122.8,500.7,302.2,336.4
UN080342,482.2,501.8,139.4,439.4,471.7,342
UN066440,482.4,386.3,338.6,462.8,933.7,553.9
UN056275,483.3,628,627.5,1073.1,1250.1,1285.2
UN111261,483.3,871.2,192.6,799.1,561.7,915.2
UN093789,484.5,737.8,673.9,1333.5,750,1718
UN074123,487,656.4,252.3,886.3,854.2,1246
UN072520,487,315.6,,430,293.9,456.1
UN093106,489.3,380.9,272.2,209.1,357.8,271.4
UN086658,489.6,348.1,129.5,403.2,485,353
UN005329,490.5,225.1,172.6,367.3,511.6,150.2
UN090795,490.5,303.7,873.1,459.1,405.1,503.1
UN029672,491.4,222.8,328.7,988.4,104.3,577
UN105022,491.4,696.7,27685,281.7,420.7,326.3
UN107723,491.9,325,408.4,795.6,1004.4,1016.9
UN074320,492.8,307,272.2,235.3,327.4,264.7
UN068116,494.9,910.4,351.9,436.3,568.6,503.5
UN097301,495.6,354.5,212.5,385.2,256.3,349.2
UN080539,495.8,285.3,46.5,915,1044.3,938.7
UN071837,496.7,292.9,514.6,477.9,461.5,311.9
UN073635,498.1,636,312.1,2775.7,974.1,2084.4
UN082289,498.3,483.8,3167.2,681.4,876.3,640.4
UN086610,498.6,594.4,1168.6,720.7,772.5,568.4
UN093316,500.6,314.2,368.5,345.3,485,455.6
UN050472,500.9,483.5,441.6,1545.6,676.5,921.6
UN066439,503,501.6,1689.9,1386.2,1160.1,1302.1
UN061632,503.4,349.3,1384.4,446.5,768.3,660.4
UN076672,503.6,492,517.9,332.5,354.1,277.6
UN076543,504.3,413.9,285.5,2143.1,1374.1,1882.3
UN078364,504.6,527.6,146.1,358.3,424.8,539.9
UN078526,504.8,569.7,83,408.7,589.2,349
UN114178,506,414.2,637.4,535.2,476.7,510.4
UN074273,507.1,339.1,106.2,719.2,647.5,870.6
UN065693,508.3,324.2,112.9,461.8,563.5,543.1
UN072132,510.6,527.2,215.8,242,381.2,278
UN078278,511,242,159.4,144.5,160.3,144.2
UN067868,512.4,917.8,142.8,406.8,149.3,411.5
UN051557,512.7,161.3,249,313.1,367.4,421.6
UN106380,513.1,449.7,481.4,544,743.5,430.2
UN022937,514.3,721.8,378.5,1251.1,1433.3,1271
UN086462,514.3,332.9,,393.8,501.5,494.9
UN089135,514.5,1292.2,215.8,622.6,631,599.8
UN088191,514.7,106.5,166,98.1,157.5,106.1
UN070431,516.3,1223.3,142.8,673.6,380.7,578.1
UN046790,516.3,1598.4,421.6,750.4,361.9,804.6
UN064468,516.3,1058.5,136.1,531.4,197.5,584.1
UN102047,518,302.1,756.9,721.8,977.7,749.9
UN110559,518.7,405.9,122.8,229.2,346.7,192.9
UN081373,519.6,312.3,375.2,222.5,237.4,235.1
UN054784,521,3257.6,2739,452.4,636.5,490.4
UN061941,522.6,426.6,1142.1,1216.6,1369,1070.8
UN109658,522.8,601.7,295.5,345.3,303.1,353
UN068806,523.7,768.9,989.3,886.1,377.5,601.6
UN067021,526,2044.7,3827.9,1105.7,1750.7,1217.1
UN088732,527.7,713.2,839.9,742.7,870.7,819.5
UN070747,527.9,512.1,268.9,969.4,1257.4,897.9
UN064286,528.6,325.9,288.8,279.2,484.5,266.6
UN066428,530.2,449.3,119.5,530.8,812.9,409.1
UN096814,531.1,294.7,421.6,800,466.6,497.3
UN067927,533.9,447,219.1,624.1,759.6,831.7
UN087446,535.5,742.2,355.2,455.7,357.8,679.6
UN096070,537.4,886.2,146.1,1513.1,1114.6,1894.8
UN076420,539,359.6,624.2,467.4,379.3,564.9
UN079219,539.7,198.5,179.3,290.3,488.2,425.5
UN062570,541.3,204.3,1228.4,125.1,221.4,135.4
UN051172,544.3,248.5,650.7,186.8,221.4,189.9
UN086094,546.6,423.9,6271.4,215.2,196.1,289.7
UN032226,546.8,393.4,348.6,181.5,183.7,226.3
UN084998,548,642.6,395.1,709.6,843.6,606.1
UN099621,548.2,749.5,458.2,1041.9,378.9,879
UN057569,550.3,369.3,335.3,432.5,450.5,363.4
UN093001,550.8,1365.6,697.2,1853,864.8,2092.2
UN072478,552.4,585.9,3084.2,289.7,515.7,925.3
UN068394,552.4,315.2,1776.2,259.5,454.2,257.1
UN013946,552.8,1872.8,172.6,260.8,151.1,322.4
UN083221,553.1,1242.6,219.1,1363.8,700.8,1752.3
UN061997,553.3,870.6,265.6,551.1,704,468.8
UN076234,554,317.5,707.1,310.6,415.6,344.6
UN045056,554.5,230.9,116.2,118.4,165.3,101.9
UN077967,554.7,585.6,335.3,305.6,560.3,420.5
UN068837,555.8,1017.2,268.9,734.1,844.6,656.1
UN091313,556.1,543.2,205.8,520.3,196.6,753.1
UN084901,558.1,472.2,229.1,330,254.4,342
UN092435,558.6,621,1723.1,1266.1,1372.7,1657.7
UN089277,559.5,221.4,152.7,139.3,173.6,166.8
UN072264,559.8,309.4,591,3230.6,428.5,2512.7
UN079782,560.2,475.4,547.8,429.2,774.3,462.1
UN074056,561.4,935.3,591,1168.1,830.3,1498.8
UN091885,561.6,1086.2,939.5,732.4,554.3,676.4
UN055318,563.7,1055.9,886.4,402,394.5,452
UN075444,564.8,635.7,89.6,466.8,494.2,547.5
UN112808,567.6,400.4,481.4,204.1,353.6,175.2
UN085598,568.1,1396.3,315.4,1520.9,1103.1,1149.3
UN112329,569.9,789.5,1328,797,650.8,805.7
UN081415,572.9,306.5,504.6,416,589.2,328.3
UN064741,573.6,1107.6,388.4,234.4,253,254.5
UN077681,574.5,470.7,826.7,2406,1338.3,1518.7
UN072234,576.2,831.4,378.5,454.9,383.9,413.6
UN105471,578.2,878.1,690.5,364.1,477.2,612.3
UN054672,578.9,496.9,438.2,210.2,410.6,226.1
UN089734,579.9,819.6,245.7,1162.4,1158.7,965.2
UN061821,580.5,282.4,235.7,258.5,225,291
UN075117,581.5,1809.9,620.8,2471.2,1279.5,1937.7
UN092912,581.5,434.5,159.4,617.2,675.1,1014.5
UN105965,581.7,330.6,1301.4,846.6,676,1129.8
UN106734,584,860.7,205.8,889.9,1398.9,1026.6
UN068225,588.4,399.2,879.8,870.2,1131.1,822.9
UN086182,590.7,252.7,322,350.5,245.2,396.8
UN075972,590.9,1494.5,239,535.8,135.9,558.4
UN056168,591.6,361.9,428.3,1701.2,3620.3,1206.4
UN087525,591.9,944.3,239,642.7,726.1,356.5
UN067925,593,300.5,451.5,1167.6,468,1066.1
UN082087,593,402.1,501.3,400.9,592,581.1
UN109442,593,730.2,302.1,1455.8,698.1,203.9
UN063999,596.5,1231.9,295.5,512.6,394,563.8
UN077017,600.2,960.1,332,308.5,371.5,483.5
UN097911,600.4,319.3,166,406.4,549.7,490.4
UN049564,600.6,1628.3,83,658.2,1160.5,773.3
UN101381,600.9,2294.7,498,684.7,370.6,457.2
UN102678,600.9,595.9,298.8,552.3,394,653.3
UN089374,601.3,477.9,494.7,1523.2,1374.5,1145.1
UN107963,603.4,919.8,425,2193.1,1587.2,1927.1
UN067664,604.3,904.7,1762.9,5279.6,1727.2,1949.7
UN080232,605.5,232.1,99.6,226.7,197,370.7
UN090991,605.5,1508.4,1102.2,901.8,763.7,1154.2
UN104552,607.8,556.1,893.1,937.2,849.2,1052
UN105973,608.7,595.1,142.8,552.3,881.8,812.4
UN106366,609.2,832.9,571,145.4,222.3,191.8
UN070418,610.6,350.1,2151.3,62.1,302.6,115.8
UN085935,611.3,1315.9,282.2,1065.6,842.7,1139.1
UN069934,611.3,469.8,883.1,339,357.8,347.9
UN062115,614.3,1055.2,99.6,466,274.6,502.9
UN089601,614.7,439.7,235.7,391.1,332,499.2
UN090185,615.2,437.7,355.2,473.9,637.4,572.5
UN086638,615.4,631.3,1162,326.1,556.6,379.1
UN078524,617.3,595.3,199.2,394.9,340.8,415.1
UN069091,618,646.5,421.6,1866.2,777.1,1001.4
UN091088,619.6,561,567.7,435.4,731.1,725.1
UN109506,619.8,499.4,720.4,239,572.7,576.3
UN079011,619.8,891.4,93,610.5,429.4,454.1
UN057888,620.3,1305.4,591,1081.5,541.5,1212.2
UN089269,621,682.1,534.5,2730.8,1226.2,3855.1
UN082316,621.7,925.9,458.2,805,750.4,795.5
UN003346,622.1,315.9,504.6,275.4,532.7,343.6
UN093259,622.3,1073.9,514.6,702.9,408.7,797.5
UN057155,622.8,621,152.7,606.3,619.1,833.3
UN069548,623.5,230.8,232.4,487.7,635.1,591.6
UN075048,624.4,796,730.4,562.4,1167.9,817.1
UN048972,624.4,487.4,610.9,298.7,470.7,414.1
UN081508,624.9,514.3,332,515.1,530,626.1
UN042937,626,428.8,1258.3,515.5,680.2,505.9
UN094163,628.8,525.6,1142.1,513.2,400,560.4
UN077992,629,1737.3,252.3,681.2,321.5,559.1
UN064575,629.3,1515.1,504.6,1628.4,861.6,1446.2
UN050343,629.3,254.4,1185.2,1336.4,1368.1,1578.4
UN093599,631.6,1501.2,2798.7,1043.8,1008.1,1069.5
UN066407,632,164.7,833.3,291.1,551.6,369.9
UN102809,633.2,771.9,355.2,473.1,514.4,472
UN066068,636,953.3,308.8,1254.2,667.8,1244.1
UN112857,637.6,519.8,634.1,779.9,731.6,790.4
UN074107,641.3,318.1,149.4,702.5,1069.1,1357
UN084649,641.5,797.6,,816.9,947.4,912.6
UN106345,642.9,411.2,637.4,995.5,653.5,1273
UN074482,643.4,660.3,434.9,632.9,696.2,549.4
UN082141,643.8,708.6,2141.4,701.7,962.6,814.3
UN100335,648.7,968.1,554.4,1141.3,935.5,880.9
UN110964,649.6,429,929.6,462.4,629.6,513.2
UN097831,650.1,1018.2,199.2,1216.6,775.7,1605.5
UN096003,650.3,273.1,428.3,363.7,555.7,541
UN076555,651.2,1390.3,288.8,575.4,565.3,581.1
UN059621,651.4,915.3,371.8,1868.1,4162.7,2077.1
UN066971,652.1,96.7,146.1,315.8,445.9,349.4
UN071057,652.6,1150.5,259,1557.1,726.1,1612.9
UN097664,655.4,631.9,295.5,611.5,881.3,872.9
UN085232,657.2,853,156,930.3,466.1,936.1
UN079646,657.9,1632.4,434.9,1519.6,3515.1,1977.3
UN083327,659.5,1686.5,1324.7,1449.4,1171.6,1486.5
UN093044,659.5,277.6,1430.9,336.3,582.8,473.5
UN071244,660,310.7,116.2,393.4,439.5,486.7
UN106238,660.7,589.3,93,649,636.1,812.2
UN060807,660.9,575.9,604.2,292.2,264.1,266.4
UN069128,663,824.5,202.5,620.1,487.3,789.5
UN077317,663.2,1217.1,876.5,344,587.8,492.9
UN084093,667.1,773.3,703.8,775.1,581,1085.5
UN111160,671.5,470,335.3,278.2,303.6,305.9
UN084527,672,1115.3,624.2,351.2,354.1,410.6
UN094695,674.8,768.2,265.6,434.8,394,496.6
UN109437,675,1171.9,770.2,659.4,541.9,798.8
UN099975,675.7,475.6,375.2,750.8,873,795.1
UN082478,676.6,715.6,856.5,1487.4,1973.4,1979.1
UN081555,676.8,653.5,3359.8,949.1,596.6,557.6
UN079268,677.3,537.1,434.9,571.6,601.6,487.5
UN088824,680.1,1296.6,647.4,460.7,442.7,495.7
UN089754,681.7,562.2,594.3,385.9,365.1,471.6
UN095051,682.4,1584.9,1152,1542.2,340.8,2066.8
UN073239,682.6,894,478.1,619.9,672.8,892.8
